"","country","SFTGcode","COW","risk_in_2017","risk_2017_18","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","durable.ln","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","tradeshare.ln.combined","coup.try.5yr","polity2.fl.2","polity2.fl.3"
"48","Malaysia","MAL",820,0.009441,0.01564,0,0,0,1,0,0,0,4.0943445622221,17.2530554928702,2.44948974278318,0.0277236693091734,0,1,2.19722457733622,0,0.59,0,1,4,1,2,0,1,1,0.619270031924601,0,0,0,1,-1.46620244470165,0,1,0
"49","Zimbabwe","ZIM",552,0.009597,0.01537,0,1,1,0,0,0,0,3.61091791264422,16.6019978163247,6.82641926635041,-0.0170551449687323,0,1,1.38629436111989,1,0.39,0,1,4,0,4,0,1,1,0.138423610136947,0,1,0,1,-2.22585691786455,0,1,0
"50","Togo","TOG",461,0.009528,0.01485,0,0,1,0,0,0,0,4.04305126783455,15.8651843978171,7.23187389270582,0.0222672064777327,1,1,3.17805383034795,0,0.71,0,0,4,2,4,0,1,1,0.695289614652554,0,0,0,0,-1.67751668104684,0,1,0
"51","Venezuela","VEN",101,0.01081,0.0137,0,0,0,0,0,0,0,5.23110861685459,17.2651041058219,3.59165699921359,-0.173410404624277,1,1,1.38629436111989,0,0.5,0,1,4,1,3,0,1,1,0.505452672261684,0,0,0,1,-1.51362116839082,0,1,0
"52","Cambodia","CAM",811,0.008458,0.01345,0,1,0,1,0,0,0,4.15888308335967,16.5780373561382,4.9598387070549,0.0535202293724115,0,1,2.94443897916644,1,0.21,0,1,4,0,3,0,1,1,0.490885708806832,0,0,0,1,-1.48041553438772,0,1,0
"53","Brazil","BRA",140,0.007726,0.01323,0,0,0,0,0,0,0,5.25749537202778,19.1424722298143,3.82099463490856,-0.123431098393705,0,1,3.46573590279973,0,0.54,0,1,4,1,4,0,1,1,0.809418704060868,0,0,0,0,-3.24044602567809,0,0,1
"54","Mauritania","MAA",435,0.009652,0.01295,0,0,1,0,0,0,0,4.04305126783455,15.318044641863,8.06845710157772,-0.00481492627144142,0,1,2.07944154167984,1,0.62,0,1,3,1,0,0,1,1,0.730787702292646,0,0,0,1,-1.7305283512916,0,1,0
"55","Laos","LAO",812,0.008941,0.01235,0,1,0,1,0,0,0,4.21950770517611,15.7507678597809,7.12039324756716,0.0501520238347904,0,1,3.73766961828337,0,0.51,0,1,0,1,2,0,0,0,0.0721359084049315,0,0,0,1,-2.0432095388796,0,0,0
"56","Gabon","GAB",481,0.007528,0.01214,0,0,1,0,0,0,0,4.04305126783455,14.6017095615404,6.00832755431992,0.00132727907789043,0,1,2.07944154167984,0,0.77,0,1,4,2,4,0,1,1,0.907074068566098,0,0,0,1,-2.10080273004364,0,1,0
"57","Sierra Leone","SIE",451,0.006854,0.0117,0,1,1,0,0,0,0,4.02535169073515,15.8380226173352,9.33273807625608,0.0358180058083253,1,1,2.70805020110221,0,0.82,0,0,4,1,4,0,1,1,0.867047253979,0,0,0,0,-1.98320014467615,0,0,1
